epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
40,80.126,0.80265,0.45405,0.928,0.98691,0.99408,0.99435,0.80244,0.76597,0.36641,0.92113,6.139e-05,6.139e-05,6.139e-05
41,81.997,0.81821,0.46222,0.9466,0.98711,0.99348,0.99439,0.8077,0.74756,0.36157,0.91395,6.04e-05,6.04e-05,6.04e-05
42,83.9779,0.79344,0.44367,0.93781,0.99027,0.99284,0.99422,0.80693,0.74757,0.36266,0.91295,5.941e-05,5.941e-05,5.941e-05
43,85.8482,0.83309,0.4481,0.94742,0.9917,0.99187,0.99404,0.80507,0.75651,0.36257,0.91628,5.842e-05,5.842e-05,5.842e-05
44,87.7599,0.8229,0.44568,0.94348,0.99328,0.9914,0.994,0.80837,0.74561,0.3556,0.91364,5.743e-05,5.743e-05,5.743e-05
45,89.6882,0.80023,0.43981,0.94554,0.9894,0.99395,0.99394,0.80259,0.75308,0.35456,0.91612,5.644e-05,5.644e-05,5.644e-05
46,91.5729,0.82379,0.44862,0.95183,0.99119,0.9943,0.99418,0.80221,0.75604,0.35657,0.91625,5.545e-05,5.545e-05,5.545e-05
47,93.4519,0.81523,0.44359,0.94437,0.99008,0.9949,0.99429,0.80422,0.75658,0.35565,0.91573,5.446e-05,5.446e-05,5.446e-05
48,95.3029,0.81116,0.4363,0.93425,0.99099,0.99371,0.9945,0.81383,0.72052,0.35023,0.90598,5.347e-05,5.347e-05,5.347e-05
49,97.2342,0.79443,0.43291,0.91811,0.98886,0.99186,0.99436,0.81152,0.73024,0.35264,0.90721,5.248e-05,5.248e-05,5.248e-05
50,99.0765,0.82057,0.44735,0.94863,0.98789,0.99031,0.99436,0.80876,0.73431,0.35424,0.90843,5.149e-05,5.149e-05,5.149e-05
51,100.946,0.80899,0.44549,0.95357,0.98825,0.99228,0.99461,0.8103,0.72119,0.34809,0.90506,5.05e-05,5.05e-05,5.05e-05
52,102.861,0.79538,0.42708,0.92292,0.98899,0.99542,0.99461,0.81144,0.72765,0.34552,0.90765,4.951e-05,4.951e-05,4.951e-05
53,104.742,0.79105,0.42844,0.92793,0.99144,0.99496,0.99459,0.81123,0.72877,0.34329,0.90919,4.852e-05,4.852e-05,4.852e-05
54,106.647,0.80055,0.42872,0.94482,0.98971,0.99479,0.99447,0.80939,0.72895,0.34218,0.90942,4.753e-05,4.753e-05,4.753e-05
55,108.549,0.78399,0.43375,0.93987,0.98902,0.99483,0.99453,0.81592,0.71583,0.33821,0.90496,4.654e-05,4.654e-05,4.654e-05
56,110.493,0.7618,0.42239,0.92421,0.99323,0.9974,0.99459,0.82311,0.70108,0.33303,0.89979,4.555e-05,4.555e-05,4.555e-05
57,112.418,0.77304,0.43683,0.9307,0.99343,0.99758,0.99445,0.82308,0.69756,0.33297,0.89883,4.456e-05,4.456e-05,4.456e-05
58,114.285,0.75752,0.41676,0.93191,0.99337,0.99746,0.99436,0.81956,0.70044,0.3325,0.89967,4.357e-05,4.357e-05,4.357e-05
